Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Sun Mar 15 13:02:28 GMT 2015,26000,0.0,291241984,8589934592,8298692608
Sun Mar 15 13:02:30 GMT 2015,26000,37.189056,194985984,8589934592,8394948608
Sun Mar 15 13:02:32 GMT 2015,26000,8.198756,238419968,8589934592,8351514624
Sun Mar 15 13:02:34 GMT 2015,26000,17.12159,218169344,8589934592,8371765248
Sun Mar 15 13:02:36 GMT 2015,26000,11.194033,221265920,8589934592,8368668672
Sun Mar 15 13:02:38 GMT 2015,26000,5.590063,220168192,8589934592,8369766400
Sun Mar 15 13:02:40 GMT 2015,26000,4.4776144,223633408,8589934592,8366301184
Sun Mar 15 13:02:42 GMT 2015,26000,6.2111797,225509376,8589934592,8364425216
Sun Mar 15 13:02:44 GMT 2015,26000,6.600249,225980416,8589934592,8363954176
Sun Mar 15 13:02:46 GMT 2015,26000,75.995026,171134976,8589934592,8418799616
Sun Mar 15 13:02:48 GMT 2015,26000,34.53865,155115520,8589934592,8434819072
Sun Mar 15 13:02:50 GMT 2015,26000,8.322984,158875648,8589934592,8431058944
Sun Mar 15 13:02:52 GMT 2015,26000,3.6114573,159019008,8589934592,8430915584
Sun Mar 15 13:02:54 GMT 2015,26000,6.7080736,159391744,8589934592,8430542848
Sun Mar 15 13:02:56 GMT 2015,26000,8.343708,157962240,8589934592,8431972352
Sun Mar 15 13:02:58 GMT 2015,26000,8.188587,156733440,8589934592,8433201152
Sun Mar 15 13:03:00 GMT 2015,26000,14.800996,157077504,8589934592,8432857088
Sun Mar 15 13:03:02 GMT 2015,26000,16.52174,154124288,8589934592,8435810304
Sun Mar 15 13:03:04 GMT 2015,26000,10.572142,156082176,8589934592,8433852416
Sun Mar 15 13:03:06 GMT 2015,26000,14.445829,154382336,8589934592,8435552256
Sun Mar 15 13:03:08 GMT 2015,26000,12.546581,153927680,8589934592,8436006912
Sun Mar 15 13:03:10 GMT 2015,26000,8.343708,153882624,8589934592,8436051968
Sun Mar 15 13:03:12 GMT 2015,26000,4.838711,154243072,8589934592,8435691520
Sun Mar 15 13:03:14 GMT 2015,26000,3.7313461,154746880,8589934592,8435187712
Sun Mar 15 13:03:16 GMT 2015,26000,5.707198,154939392,8589934592,8434995200
Sun Mar 15 13:03:18 GMT 2015,26000,10.559005,154324992,8589934592,8435609600
Sun Mar 15 13:03:20 GMT 2015,26000,9.838104,153698304,8589934592,8436236288
Sun Mar 15 13:03:22 GMT 2015,26000,10.958904,153047040,8589934592,8436887552
Sun Mar 15 13:03:24 GMT 2015,26000,7.2229147,152682496,8589934592,8437252096
Sun Mar 15 13:03:26 GMT 2015,26000,7.6923075,152936448,8589934592,8436998144
Sun Mar 15 13:03:28 GMT 2015,26000,10.834372,153657344,8589934592,8436277248
Sun Mar 15 13:03:30 GMT 2015,26000,6.2111797,155471872,8589934592,8434462720
Sun Mar 15 13:03:32 GMT 2015,26000,3.7406504,154746880,8589934592,8435187712
Sun Mar 15 13:03:34 GMT 2015,26000,6.4676642,154116096,8589934592,8435818496
Sun Mar 15 13:03:36 GMT 2015,26000,14.534163,156418048,8589934592,8433516544
Sun Mar 15 13:03:38 GMT 2015,26000,7.82609,155742208,8589934592,8434192384
Sun Mar 15 13:03:40 GMT 2015,26000,4.7146378,157151232,8589934592,8432783360
Sun Mar 15 13:03:42 GMT 2015,26000,6.9651723,164941824,8589934592,8424992768
Sun Mar 15 13:03:44 GMT 2015,26000,22.29141,157057024,8589934592,8432877568
Sun Mar 15 13:03:46 GMT 2015,26000,9.925556,157384704,8589934592,8432549888
Sun Mar 15 13:03:48 GMT 2015,26000,7.5776396,157650944,8589934592,8432283648
Sun Mar 15 13:03:50 GMT 2015,26000,11.801243,149741568,8589934592,8440193024
Sun Mar 15 13:03:52 GMT 2015,26000,6.2034726,150364160,8589934592,8439570432
Sun Mar 15 13:03:54 GMT 2015,26000,4.844719,152170496,8589934592,8437764096
Sun Mar 15 13:03:56 GMT 2015,26000,5.3349853,151420928,8589934592,8438513664
Sun Mar 15 13:03:58 GMT 2015,26000,4.488778,151658496,8589934592,8438276096
Sun Mar 15 13:04:00 GMT 2015,26000,4.466504,150945792,8589934592,8438988800
Sun Mar 15 13:04:02 GMT 2015,26000,4.5962753,151408640,8589934592,8438525952
Sun Mar 15 13:04:04 GMT 2015,26000,4.4776144,151801856,8589934592,8438132736
Sun Mar 15 13:04:06 GMT 2015,26000,5.093169,151961600,8589934592,8437972992
Sun Mar 15 13:04:08 GMT 2015,26000,7.196027,151433216,8589934592,8438501376
Sun Mar 15 13:04:10 GMT 2015,26000,4.856789,151302144,8589934592,8438632448
Sun Mar 15 13:04:12 GMT 2015,26000,5.962735,152391680,8589934592,8437542912
Sun Mar 15 13:04:14 GMT 2015,26000,3.2338321,152592384,8589934592,8437342208
Sun Mar 15 13:04:16 GMT 2015,26000,4.573548,152723456,8589934592,8437211136
Sun Mar 15 13:04:18 GMT 2015,26000,3.4869254,153030656,8589934592,8436903936
Sun Mar 15 13:04:20 GMT 2015,26000,4.6134653,152137728,8589934592,8437796864
Sun Mar 15 13:04:22 GMT 2015,26000,3.4825861,152244224,8589934592,8437690368
Sun Mar 15 13:04:24 GMT 2015,26000,4.207921,152821760,8589934592,8437112832
Sun Mar 15 13:04:26 GMT 2015,26000,4.726368,152092672,8589934592,8437841920
Sun Mar 15 13:04:28 GMT 2015,26000,4.1095915,151269376,8589934592,8438665216
Sun Mar 15 13:04:30 GMT 2015,26000,4.364091,150446080,8589934592,8439488512
Sun Mar 15 13:04:32 GMT 2015,26000,4.0942907,149618688,8589934592,8440315904
Sun Mar 15 13:04:34 GMT 2015,26000,3.6069632,150134784,8589934592,8439799808
Sun Mar 15 13:04:36 GMT 2015,26000,4.1095915,150298624,8589934592,8439635968
Sun Mar 15 13:04:38 GMT 2015,26000,3.6069632,149508096,8589934592,8440426496
Sun Mar 15 13:04:40 GMT 2015,26000,4.4609666,148819968,8589934592,8441114624
Sun Mar 15 13:04:42 GMT 2015,26000,5.3416133,148635648,8589934592,8441298944
Sun Mar 15 13:04:44 GMT 2015,26000,6.3354015,149327872,8589934592,8440606720
Sun Mar 15 13:04:46 GMT 2015,26000,7.5776396,149655552,8589934592,8440279040
Sun Mar 15 13:04:48 GMT 2015,26000,7.3383093,148111360,8589934592,8441823232
Sun Mar 15 13:04:50 GMT 2015,26000,12.234706,147394560,8589934592,8442540032
Sun Mar 15 13:04:52 GMT 2015,26000,12.313432,145440768,8589934592,8444493824
Sun Mar 15 13:04:54 GMT 2015,26000,12.779159,147136512,8589934592,8442798080
Sun Mar 15 13:04:56 GMT 2015,26000,27.826088,146489344,8589934592,8443445248
Sun Mar 15 13:04:59 GMT 2015,26000,8.364546,140075008,8589934592,8449859584
Sun Mar 15 13:05:01 GMT 2015,26000,12.655086,141082624,8589934592,8448851968
Sun Mar 15 13:05:03 GMT 2015,26000,17.12159,139681792,8589934592,8450252800
Sun Mar 15 13:05:05 GMT 2015,26000,14.516127,139911168,8589934592,8450023424
Sun Mar 15 13:05:07 GMT 2015,26000,12.656641,140578816,8589934592,8449355776
Sun Mar 15 13:05:09 GMT 2015,26000,15.920401,142331904,8589934592,8447602688
Sun Mar 15 13:05:11 GMT 2015,26000,6.2189045,141594624,8589934592,8448339968
Sun Mar 15 13:05:13 GMT 2015,26000,11.757427,141123584,8589934592,8448811008
Sun Mar 15 13:05:15 GMT 2015,26000,6.956524,140681216,8589934592,8449253376
Sun Mar 15 13:05:17 GMT 2015,26000,10.211706,140820480,8589934592,8449114112
Sun Mar 15 13:05:19 GMT 2015,26000,15.756822,143671296,8589934592,8446263296
Sun Mar 15 13:05:21 GMT 2015,26000,15.566624,142290944,8589934592,8447643648
Sun Mar 15 13:05:23 GMT 2015,26000,12.531018,143159296,8589934592,8446775296
Sun Mar 15 13:05:25 GMT 2015,26000,14.606744,141127680,8589934592,8448806912
Sun Mar 15 13:05:27 GMT 2015,26000,9.541512,141660160,8589934592,8448274432
Sun Mar 15 13:05:29 GMT 2015,26000,4.358655,139972608,8589934592,8449961984
Sun Mar 15 13:05:31 GMT 2015,26000,5.583125,140251136,8589934592,8449683456
Sun Mar 15 13:05:33 GMT 2015,26000,4.844719,139804672,8589934592,8450129920
Sun Mar 15 13:05:35 GMT 2015,26000,5.6249976,141500416,8589934592,8448434176
Sun Mar 15 13:05:37 GMT 2015,26000,6.0718718,138727424,8589934592,8451207168
Sun Mar 15 13:05:39 GMT 2015,26000,5.97015,138915840,8589934592,8451018752
Sun Mar 15 13:05:41 GMT 2015,26000,6.956524,139202560,8589934592,8450732032
Sun Mar 15 13:05:43 GMT 2015,26000,4.347825,139448320,8589934592,8450486272
Sun Mar 15 13:05:45 GMT 2015,26000,4.601991,138711040,8589934592,8451223552
Sun Mar 15 13:05:47 GMT 2015,26000,5.217391,139022336,8589934592,8450912256
Sun Mar 15 13:05:49 GMT 2015,26000,6.3275456,138240000,8589934592,8451694592
Sun Mar 15 13:05:51 GMT 2015,26000,6.7080736,138625024,8589934592,8451309568
Sun Mar 15 13:05:53 GMT 2015,26000,4.472047,138780672,8589934592,8451153920
Sun Mar 15 13:05:55 GMT 2015,26000,6.82382,137019392,8589934592,8452915200
Sun Mar 15 13:05:57 GMT 2015,26000,9.7135725,137404416,8589934592,8452530176
Sun Mar 15 13:05:59 GMT 2015,26000,9.305209,137744384,8589934592,8452190208
Sun Mar 15 13:06:01 GMT 2015,26000,19.751554,139358208,8589934592,8450576384
Sun Mar 15 13:06:03 GMT 2015,26000,10.199004,140029952,8589934592,8449904640
Sun Mar 15 13:06:05 GMT 2015,26000,4.2236032,140398592,8589934592,8449536000
Sun Mar 15 13:06:07 GMT 2015,26000,5.7001233,139534336,8589934592,8450400256
Sun Mar 15 13:06:09 GMT 2015,26000,4.374999,139972608,8589934592,8449961984
Sun Mar 15 13:06:11 GMT 2015,26000,9.316772,135532544,8589934592,8454402048
Sun Mar 15 13:06:13 GMT 2015,26000,15.384615,135000064,8589934592,8454934528
Sun Mar 15 13:06:15 GMT 2015,26000,16.397518,134275072,8589934592,8455659520
Sun Mar 15 13:06:17 GMT 2015,26000,15.67164,130273280,8589934592,8459661312
Sun Mar 15 13:06:19 GMT 2015,26000,29.975122,131301376,8589934592,8458633216
Sun Mar 15 13:06:21 GMT 2015,26000,11.414391,130351104,8589934592,8459583488
Sun Mar 15 13:06:23 GMT 2015,26000,12.204236,129175552,8589934592,8460759040
Sun Mar 15 13:06:25 GMT 2015,26000,8.322984,129560576,8589934592,8460374016
Sun Mar 15 13:06:27 GMT 2015,26000,11.925465,147578880,8589934592,8442355712
Sun Mar 15 13:06:29 GMT 2015,26000,11.9403,145596416,8589934592,8444338176
Sun Mar 15 13:06:31 GMT 2015,26000,13.6645975,144240640,8589934592,8445693952
Sun Mar 15 13:06:33 GMT 2015,26000,7.7210484,144875520,8589934592,8445059072
Sun Mar 15 13:06:35 GMT 2015,26000,17.676146,143724544,8589934592,8446210048
Sun Mar 15 13:06:37 GMT 2015,26000,16.997517,143147008,8589934592,8446787584
Sun Mar 15 13:06:39 GMT 2015,26000,7.18711,142675968,8589934592,8447258624
Sun Mar 15 13:06:41 GMT 2015,26000,4.6077194,144277504,8589934592,8445657088
Sun Mar 15 13:06:43 GMT 2015,26000,6.2034726,144588800,8589934592,8445345792
Sun Mar 15 13:06:45 GMT 2015,26000,4.601991,144908288,8589934592,8445026304
Sun Mar 15 13:06:47 GMT 2015,26000,5.093169,144003072,8589934592,8445931520
Sun Mar 15 13:06:49 GMT 2015,26000,4.844719,144367616,8589934592,8445566976
Sun Mar 15 13:06:51 GMT 2015,26000,5.4590583,142671872,8589934592,8447262720
Sun Mar 15 13:06:53 GMT 2015,26000,18.159204,133373952,8589934592,8456560640
Sun Mar 15 13:06:55 GMT 2015,26000,19.875776,134922240,8589934592,8455012352
Sun Mar 15 13:06:57 GMT 2015,26000,20.29888,134463488,8589934592,8455471104
Sun Mar 15 13:06:59 GMT 2015,26000,9.553349,135565312,8589934592,8454369280
Sun Mar 15 13:07:01 GMT 2015,26000,12.8109455,132771840,8589934592,8457162752
Sun Mar 15 13:07:03 GMT 2015,26000,7.855362,134733824,8589934592,8455200768
Sun Mar 15 13:07:05 GMT 2015,26000,13.043481,133955584,8589934592,8455979008
Sun Mar 15 13:07:07 GMT 2015,26000,5.97015,134279168,8589934592,8455655424
Sun Mar 15 13:07:09 GMT 2015,26000,8.706469,134586368,8589934592,8455348224
Sun Mar 15 13:07:11 GMT 2015,26000,9.565216,135053312,8589934592,8454881280
Sun Mar 15 13:07:13 GMT 2015,26000,9.079599,134352896,8589934592,8455581696
Sun Mar 15 13:07:15 GMT 2015,26000,11.538464,133783552,8589934592,8456151040
Sun Mar 15 13:07:17 GMT 2015,26000,10.186333,133120000,8589934592,8456814592
Sun Mar 15 13:07:19 GMT 2015,26000,11.442786,133746688,8589934592,8456187904
Sun Mar 15 13:07:21 GMT 2015,26000,13.913041,132014080,8589934592,8457920512
Sun Mar 15 13:07:23 GMT 2015,26000,23.880594,131178496,8589934592,8458756096
Sun Mar 15 13:07:25 GMT 2015,26000,7.835823,130449408,8589934592,8459485184
Sun Mar 15 13:07:27 GMT 2015,26000,9.7135725,129908736,8589934592,8460025856
Sun Mar 15 13:07:29 GMT 2015,26000,11.194033,129581056,8589934592,8460353536
Sun Mar 15 13:07:31 GMT 2015,26000,5.962735,129908736,8589934592,8460025856
Sun Mar 15 13:07:33 GMT 2015,26000,13.043481,128622592,8589934592,8461312000
Sun Mar 15 13:07:35 GMT 2015,26000,4.466504,128950272,8589934592,8460984320
Sun Mar 15 13:07:37 GMT 2015,26000,5.8385077,129142784,8589934592,8460791808
Sun Mar 15 13:07:39 GMT 2015,26000,6.7164183,129523712,8589934592,8460410880
Sun Mar 15 13:07:41 GMT 2015,26000,11.194033,126656512,8589934592,8463278080
Sun Mar 15 13:07:43 GMT 2015,26000,11.111111,78639104,8589934592,8511295488
Sun Mar 15 13:07:45 GMT 2015,26000,4.820764,76914688,8589934592,8513019904
Sun Mar 15 13:07:47 GMT 2015,26000,5.074257,82804736,8589934592,8507129856
Sun Mar 15 13:07:50 GMT 2015,26000,3.4739435,82116608,8589934592,8507817984
Sun Mar 15 13:07:52 GMT 2015,26000,4.089218,83537920,8589934592,8506396672
Sun Mar 15 13:07:54 GMT 2015,26000,3.9702237,84889600,8589934592,8505044992
Sun Mar 15 13:07:56 GMT 2015,26000,4.089218,84074496,8589934592,8505860096
Sun Mar 15 13:07:58 GMT 2015,26000,4.7146378,82964480,8589934592,8506970112
Sun Mar 15 13:08:00 GMT 2015,26000,10.186333,653459456,8589934592,7936475136
Sun Mar 15 13:08:02 GMT 2015,26000,16.109043,652926976,8589934592,7937007616
Sun Mar 15 14:01:53 GMT 2015,26000,50.60129,592318464,8589934592,7997616128
Sun Mar 15 14:01:55 GMT 2015,26000,14.856428,566587392,8589934592,8023347200
Sun Mar 15 14:01:57 GMT 2015,26000,22.91407,157044736,8589934592,8432889856
Sun Mar 15 14:01:59 GMT 2015,26000,15.1930275,158760960,8589934592,8431173632
Sun Mar 15 14:02:01 GMT 2015,26000,23.910337,143155200,8589934592,8446779392
